supplier_name,total_vouchers_paid,total_vouchers_pending,total_encumbrance_balance,total_pending_retainage,record_count,unique_suppliers,negative_paid_records,large_paid_1m_records,missing_po_date_records
THE DEPOSITORY TRUST COMPANY,1696456058786.7,0.0,0.0,0.0,3494,67,0,3394,1484
US BANK NATIONAL ASSOCIATION,1639763323680.72,16262442.3,33720.0,39660.0,28772,68,0,14210,11682
KAISER FOUNDATION HEALTH PLAN INC,1493422438646.72,0.0,0.0,0.0,1158,63,0,508,468
THE BANK OF NEW YORK MELLON TRUST CO NA,1471962484495.78,18390635517.6,420583.02,13662389.36,2388,67,0,1232,1126
BLUE SHIELD OF CALIF,1208767264011.94,91202.31999999999,0.0,0.0,1728,68,100,1538,708
STATE OF CALIF DEPT OF HEALTH CARE SVCS,483781076478.2,30449704.04,0.0,392553.2,2646,67,0,1072,1132
UNITED HEALTHCARE INSURANCE COMPANY,306500861588.92,0.0,0.0,584755.72,1430,65,0,902,590
DELTA DENTAL PLAN OF CALIFORNIA,197684036935.2,731293.56,0.0,4681.4,1230,65,0,1010,510
WILMINGTON TRUST NATIONAL ASSOCIATION,109786748976.96,0.0,0.0,0.0,700,49,0,400,280
STATE OF CALIF STATE TREAS CASH MGT DIV,77430750372.16,0.0,0.0,0.0,1198,67,0,1008,508
P&A ADMINISTRATIVE SERVICES INC,49326484922.96,25620.0,190184.8,12728.0,1054,59,0,488,414
CHICAGO TITLE COMPANY,35537301027.42,109528.0,12005.24,642425.52,1988,68,0,626,854
TRANSBAY JOINT POWERS AUTHORITY,29894167525.0,8565.339999999998,341798.0,1684908.0,544,63,0,346,206
VISION SERVICE PLAN,29690768800.0,0.0,0.0,0.0,1850,59,0,584,740
ZB National Association,29642912266.88,0.0,0.0,0.0,500,43,0,480,200
STATE OF CALIF -DEPT OF INDL RELATIONS,22586357993.4,52900.24,28150.0,27518.0,5362,67,0,944,2362
NATIONAL PARK SERVICE,19070493386.06,15612.56,0.0,0.0,484,63,0,372,208
STATE WATER RESOURCES CONTROL BOARD,18330873799.2,418781.68,593132.36,96204.73999999999,10298,67,0,1370,4318
Hartford Life and Accident Insurance,15794684463.36,0.0,0.0,0.0,3650,53,0,658,1460
WELLS FARGO BANK N A,15077909428.62,40912135.62,0.0,21150.0,1586,65,0,574,840
HEALTHRIGHT 360,14946145272.56,36527872.96,53714070.52,99393744.46,4348,67,450,1234,2102
CCSF HRD WORKERS COMP DIVISION,14850801530.02,9269112.78,0.0,0.0,122,34,0,96,62
Health Net,14731164275.52,0.0,0.0,0.0,850,40,0,540,340
Single Payment Payees,13478911895.68,10001432.32,0.0,0.0,61750,59,0,1670,24700
TURLOCK IRRIGATION DISTRICT,12361349175.3,3731735.68,0.0,0.0,506,65,0,474,224
WORKTERRA,11998101605.44,0.0,17734.0,0.0,580,59,0,452,220
BANK OF AMERICA NT & SA,11623004440.98,758000.0,0.0,0.0,17068,62,50,1218,6838
CHILDREN'S COUNCIL OF SAN FRANCISCO,10245238680.0,10169265.88,154270944.0,6931772.600000001,1406,68,0,278,552
SUMITOMO MITSUI BANKING CORPORATION,9723222008.66,0.0,0.0,0.0,1802,59,0,1156,722
BANK OF AMERICA NA,9419249904.04,6615983.42,0.0,4987.26,2610,68,0,1256,1200
CityBase Inc.,9231270910.64,0.0,444251.52,0.0,9608,61,0,610,3740
EMPLOYMENT DEVELOPMENT DEPT,8399597625.0,1055.6,15961.1,4620.08,1718,67,0,388,708
REGENTS OF THE UNIVERSITY OF CALIFORNIA,8111362738.18,239610721.18,106850150.03999999,143663580.4,6230,68,1202,488,2416
CALIFORNIA ACADEMY OF SCIENCES,8018570085.64,8017996.300000001,250539.0,17703300.04,2436,68,0,962,1030
CALPERS,7999798854.559999,5800.0,5200.0,33800.0,2404,68,0,502,966
San Francisco Health Plan,7947971364.36,0.0,16358654.0,0.0,332,55,0,184,80
AETNA LIFE INSURANCE CO,7543975109.44,0.0,0.0,0.0,4600,30,0,324,1840
OLD REPUBLIC TITLE COMPANY,7392977106.66,1000000.0,0.0,6800.0,468,68,0,144,116
STATE OF CAL DEPT OF PARKS & RECREATION,6693082323.14,0.0,0.0,0.0,1554,63,0,790,632
PACIFIC GAS & ELECTRIC CO,6540995676.1,62937863.46,34379193.54,25052389.3,14772,68,50,1176,6152
BARCLAYS BANK PLC,5996392854.84,935494.64,0.0,0.0,1164,66,0,618,474
HENSEL PHELPS CONSTRUCTION CO,5506115712.66,137845057.2,33078216.72,480336909.24,802,63,50,350,544
DEPARTMENT OF SOCIAL SERVICES,5439951095.32,0.0,37912438.66,0.0,562,65,0,108,228
CITY OF SO SAN FRANCISCO,5412998603.82,1937077.52,1331247.02,1285581.0,906,66,0,424,396
MODESTO IRRIGATION DISTRICT,5326177054.02,328595.32,21943.660000000003,14867.28,870,67,0,474,446
RECOLOGY SUNSET SCAVENGER COMPANY,5225551214.559999,22911370.06,2029345.42,9113548.58,9226,67,100,476,4260
THE YERBA BUENA GARDENS CONSERVANCY,5037346037.84,0.0,4318918.68,0.0,86,36,0,72,20
BANC OF AMERICA LEASING & CAPITAL LLC,4656437936.96,0.0,0.0,0.0,870,68,0,508,390
SANDIE ARNOTT TAX COLLECTOR,4514804723.32,0.0,0.0,0.0,2764,61,0,542,1100
CCSF TPA WORKERS COMP DIVISION,4494489518.4800005,3258837.8,0.0,0.0,168,36,0,104,78
U S BANK,4453183799.08,3349913.2399999998,0.0,0.0,672,46,0,230,552
HSA AP Interface Supplier,4350501587.52,0.0,0.0,0.0,550,4,0,196,220
TURNER CONSTRUCTION CO,4226137359.76,227554278.12,74085811.06,2227313653.44,686,66,0,258,540
TENDERLOIN HOUSING CLINIC INC,4169106937.6,26770996.759999998,50684640.72,32851721.72,1942,68,0,322,818
CORPORATION OF THE FINE ARTS MUSEUMS,3837050557.92,7676662.98,0.0,0.0,1774,67,0,404,754
MWH CONSTRS & WEBCOR BLDRS A CNST JV,3819499145.2400002,32820643.299999997,296731763.06,0.0,1132,48,0,404,20
ALAMEDA COUNTY,3796528011.66,19674518.34,16059082.96,72345954.18,3034,68,0,480,1466
STEWART TITLE GUARANTY CO,3706722496.48,0.0,0.0,0.0,198,50,0,68,64
CITIBANK NA,3617143291.68,14405223.24,103600.14,0.0,9200,68,50,618,3740
SAN FRANCISCO SUPERIOR COURT,3353491013.48,11230762.8,1367495.74,4982135.24,4818,68,0,470,2098
AMERICAN AIRLINES INC,3342082478.32,1669629.8,0.0,0.0,28492,68,102,592,12262
Department of Health Care Access and Inf,3338607403.12,0.0,0.0,0.0,4802,61,0,514,1920
FIS CAPITAL MARKETS US LLC,3233616052.5,0.0,6037.26,0.0,766,61,150,60,240
DRAGADOS USA/FLATIRON WEST/SUKUT CNST JV,3202766282.68,73068773.28,130368904.48,1953919012.04,98,34,0,86,50
CALIFORNIA DEPARTMENT OF PUBLIC HEALTH,2918866996.52,18774.6,0.0,0.0,4772,68,0,380,2060
STATE STREET BANK & TRUST CO,2761458799.9,2635028.18,0.0,0.0,896,67,0,406,386
U S TREASURY,2726701244.44,0.0,0.0,210720.0,768,56,0,314,318
NEXTERA ENERGY MARKETING LLC,2609136804.18,0.0,12845480.219999999,0.0,230,52,0,154,40
ANVIL BUILDERS INC,2601425573.66,3241966.22,140345348.52,49790720.36,888,67,0,180,286
WEBCOR BUILDERS,2592433037.88,285602993.64,171855163.1,944253610.24,558,65,0,162,308
Goodwill SF Urban Development LLC,2587018080.84,0.0,0.0,0.0,78,28,0,68,20
DON PEDRO RECREATION AGENCY,2560061565.5,711884.8,0.0,0.0,374,63,0,290,160
WU YEE CHILDREN'S SERVICES,2514707899.88,14791667.4,45219782.54,5710370.94,900,67,0,158,384
FOCIL-MB LLC,2465619718.68,1160925.46,0.5,9904014.2,374,61,0,74,174
RANGER PIPELINES INC,2366832229.36,72062746.8,89122959.4,556962490.82,470,67,0,170,240
EDGEWOOD CENTER FOR CHILDREN AND FAMILES,2316144405.46,21028526.7,15461318.879999999,23749051.04,1888,67,202,288,1052
COMMUNITY FORWARD SF,2301910247.44,73996.16,21041307.72,0.0,1032,65,50,280,180
TUTOR PERINI CORPORATION,2272195373.7200003,109283087.1,353332464.40000004,881668847.12,106,53,0,40,28
COUNTY OF TUOLUMNE,2244703773.4,593148.44,0.0,0.0,1168,65,0,338,496
CROSS COUNTRY STAFFING,2235197285.58,5522556.9,2277583.18,24052863.66,630,63,0,192,174
US GEOLOGICAL SURVEY,2196088060.0,0.0,485160.0,0.0,776,57,0,334,310
COMMUNITY ARTS STABLIZATION TRUST,2190867912.26,0.0,0.0,2823600.0,162,30,0,102,56
BROWN & CALDWELL,2179679634.56,17166640.28,43644189.940000005,104918066.74,246,60,0,108,76
BAKER PLACES INC,2154732119.7599998,11478379.26,15408499.64,27519291.78,1210,68,150,496,600
SUNDT/WALSH A JOINT VENTURE,2150311686.82,3509725.06,23866294.28,4225851.3,1244,59,0,252,22
UNITED STATES POSTAL SERVICE,2085565877.3799999,400054.98,0.0,20000.0,7428,68,0,326,3322
CARDINALHEALTH MEDICAL PRODUCTS & SVCS,2079750087.8600001,12461724.02,1174568.5,9426996.48,135530,68,3808,180,4890
EPISCOPAL COMMUNITY SVCS OF S F INC,1966871200.28,12100839.6,52986493.84,24833821.16,4068,68,0,402,1444
AUSTIN WEBCOR JV,1940726195.58,15703386.42,35627588.620000005,55828950.78,136,46,0,66,44
RECOLOGY GOLDEN GATE,1823807890.28,2387795.84,42296.46,448072.0,1346,67,0,210,792
LIBKRA INVESTMENT CORPORATION,1775226251.92,0.0,1235000.0,247000.0,314,50,0,210,122
RICHMOND AREA MULTI-SERVICES INC,1696721626.34,20422737.580000002,47275383.94,23053455.66,4134,67,1054,912,1810
2725 Oakdale LLC,1652238014.44,0.0,0.0,0.0,362,58,0,158,140
CALIFORNIA DEPARTMENT OF WATER RESOURCES,1640821322.0,362100.0,0.0,0.0,1056,64,0,252,432
THE BANK OF NEW YORK MELLON,1633412743.24,0.0,3305379.36,0.0,92,36,0,72,20
JMB CONSTRUCTION INC,1603466942.28,132489.28,74589644.7,0.0,348,57,0,134,20
JAPANESE COMMUNITY YOUTH COUNCIL,1570653273.38,20635571.18,14178067.64,19205976.92,1688,67,50,196,880
SF IN-HOME SPPRTIV SVCS (IHSS) PUBL AUTH,1518946027.54,139327.66,54977576.74,198329.54,126,53,0,26,34
A P X INC,1477580492.94,8163322.42,54647945.379999995,20092338.8,320,65,0,106,104
J P MORGAN CHASE BANK NA,1474920193.48,11256225.58,0.0,0.0,960,67,0,256,450
